iter	Logloss	Accuracy
0	0.6720298155	0.7941176471
1	0.6517052903	0.7941176471
2	0.6354126668	0.8455882353
3	0.6215402625	0.8382352941
4	0.609960765	0.8382352941
5	0.5960454907	0.8235294118
6	0.5850192633	0.8088235294
7	0.583385912	0.8235294118
8	0.5701130994	0.8161764706
9	0.5613920435	0.8161764706
10	0.5532394785	0.8088235294
11	0.541633642	0.8308823529
12	0.5277664277	0.8529411765
13	0.5173082283	0.8382352941
14	0.5083351843	0.8382352941
15	0.4986072398	0.8529411765
16	0.4929142463	0.8897058824
17	0.485702776	0.8897058824
18	0.4805894433	0.8897058824
19	0.4725906565	0.8823529412
20	0.4646789365	0.875
21	0.4563733347	0.875
22	0.4473831378	0.8676470588
23	0.4441898751	0.875
24	0.4394721076	0.8676470588
25	0.434204421	0.8897058824
26	0.4285966587	0.8970588235
27	0.4244302676	0.8970588235
28	0.4174682792	0.9191176471
29	0.4135999361	0.9117647059
30	0.4098725683	0.9191176471
31	0.4081887986	0.9191176471
32	0.403277775	0.9264705882
33	0.3983371715	0.9191176471
34	0.3933503366	0.9191176471
35	0.3882154518	0.9264705882
36	0.3843694411	0.9264705882
37	0.381929503	0.9264705882
38	0.3787749589	0.9191176471
39	0.3747756108	0.9338235294
40	0.3717196091	0.9338235294
41	0.3684473359	0.9338235294
42	0.3631811433	0.9338235294
43	0.3597699839	0.9411764706
44	0.3564798635	0.9411764706
45	0.35245183	0.9411764706
46	0.349608671	0.9411764706
47	0.3455040776	0.9485294118
48	0.3434856441	0.9485294118
49	0.3401198062	0.9411764706
50	0.3398842254	0.9411764706
51	0.3382991266	0.9411764706
52	0.3353077844	0.9485294118
53	0.3324042855	0.9485294118
54	0.3316178216	0.9485294118
55	0.3310466555	0.9485294118
56	0.3270837023	0.9411764706
57	0.3242894209	0.9485294118
58	0.3213440856	0.9485294118
59	0.3153569404	0.9558823529
60	0.3137275577	0.9558823529
61	0.3108372666	0.9558823529
62	0.3095517138	0.9558823529
63	0.3077993509	0.9558823529
64	0.3049983032	0.9632352941
65	0.3031056799	0.9632352941
66	0.3004112459	0.9558823529
67	0.2980634538	0.9632352941
68	0.2969472213	0.9558823529
69	0.2953463393	0.9558823529
70	0.2929247478	0.9632352941
71	0.2890770223	0.9558823529
72	0.2864536933	0.9632352941
73	0.2848334086	0.9558823529
74	0.2832780155	0.9632352941
75	0.281568332	0.9632352941
76	0.2793577505	0.9632352941
77	0.2772095844	0.9632352941
78	0.2760738291	0.9632352941
79	0.2724845217	0.9632352941
80	0.2724796652	0.9632352941
81	0.2711117684	0.9632352941
82	0.2690385704	0.9632352941
83	0.2687708521	0.9632352941
84	0.2660982016	0.9632352941
85	0.2645473399	0.9632352941
86	0.2621798416	0.9632352941
87	0.2599657305	0.9632352941
88	0.2589960846	0.9632352941
89	0.2579237992	0.9632352941
90	0.2573149611	0.9632352941
91	0.2536879741	0.9632352941
92	0.2513831297	0.9632352941
93	0.2503864415	0.9632352941
94	0.2480432149	0.9705882353
95	0.248043213	0.9705882353
96	0.2465108618	0.9632352941
97	0.2447010476	0.9705882353
98	0.243692686	0.9632352941
99	0.2429550913	0.9705882353
