iter	Logloss	Accuracy
0	0.6750954591	0.7835820896
1	0.6588797005	0.7835820896
2	0.6416126824	0.8208955224
3	0.6242153312	0.8134328358
4	0.6072998996	0.8507462687
5	0.5927093011	0.8432835821
6	0.5811317252	0.8432835821
7	0.5708514812	0.8208955224
8	0.5575778058	0.8134328358
9	0.5476743675	0.8059701493
10	0.5367952334	0.8208955224
11	0.5280870081	0.8059701493
12	0.5179410733	0.8134328358
13	0.5074846424	0.8059701493
14	0.4989742473	0.8134328358
15	0.4900750303	0.8134328358
16	0.4826338014	0.8134328358
17	0.4714572542	0.828358209
18	0.4634715331	0.8358208955
19	0.4585505568	0.8358208955
20	0.4531106359	0.828358209
21	0.4486886836	0.8358208955
22	0.4414829806	0.8432835821
23	0.4360022569	0.8432835821
24	0.4305634594	0.8432835821
25	0.4274267581	0.8432835821
26	0.4225906199	0.8582089552
27	0.4216590572	0.8582089552
28	0.4153949265	0.8507462687
29	0.4104994003	0.8507462687
30	0.4060884221	0.8582089552
31	0.402692595	0.8582089552
32	0.3992291147	0.8582089552
33	0.3930239004	0.8805970149
34	0.3921553596	0.8731343284
35	0.3901534212	0.8656716418
36	0.388933279	0.8656716418
37	0.3840789023	0.8656716418
38	0.3809597539	0.8656716418
39	0.376814624	0.8656716418
40	0.3736029003	0.8656716418
41	0.3718011856	0.8656716418
42	0.368733613	0.8656716418
43	0.3648583752	0.8656716418
44	0.3633681178	0.8656716418
45	0.3631892756	0.8656716418
46	0.3607502836	0.8805970149
47	0.3597717627	0.8880597015
48	0.3573503373	0.8880597015
49	0.3538988268	0.9029850746
50	0.3500318792	0.9104477612
51	0.3487802166	0.9104477612
52	0.3476189334	0.9104477612
53	0.3463498743	0.9104477612
54	0.3444258734	0.9104477612
55	0.3443316633	0.9104477612
56	0.3419443457	0.9029850746
57	0.3400638008	0.9104477612
58	0.3385212614	0.9029850746
59	0.3367807796	0.9029850746
60	0.3354851104	0.9029850746
61	0.3345818005	0.9029850746
62	0.3328843829	0.8955223881
63	0.328142419	0.9029850746
64	0.326283841	0.9104477612
65	0.3239073286	0.9104477612
66	0.3195456899	0.9104477612
67	0.3161849028	0.9104477612
68	0.3144119598	0.9104477612
69	0.3109407965	0.9104477612
70	0.3099736114	0.9179104478
71	0.3088516421	0.9104477612
72	0.3061324735	0.9253731343
73	0.3053229361	0.9253731343
74	0.3025250769	0.9253731343
75	0.3000513063	0.9253731343
76	0.2987489261	0.9253731343
77	0.2968740528	0.9253731343
78	0.2966340877	0.9253731343
79	0.2950254109	0.9253731343
80	0.2937470391	0.9253731343
81	0.2923846854	0.9253731343
82	0.2905766668	0.9328358209
83	0.2898651546	0.9328358209
84	0.2889901113	0.9328358209
85	0.2876633337	0.9402985075
86	0.2857397753	0.9402985075
87	0.2833604419	0.9328358209
88	0.2826701306	0.9328358209
89	0.2813198851	0.9328358209
90	0.2807155831	0.9328358209
91	0.2788021107	0.9328358209
92	0.2769211558	0.9328358209
93	0.2764301296	0.9328358209
94	0.2749737752	0.9402985075
95	0.2727881382	0.9402985075
96	0.2712613056	0.9402985075
97	0.2698447508	0.9402985075
98	0.268501794	0.9402985075
99	0.2670538739	0.9402985075
