iter	Logloss
0	0.6744196511
1	0.6575447031
2	0.6529671758
3	0.6381257455
4	0.62465627
5	0.6124026571
6	0.6012317292
7	0.5910289757
8	0.5816952498
9	0.5731441693
10	0.5653000472
11	0.5580962268
12	0.5514737312
13	0.5453801566
14	0.5397687597
15	0.5345976982
16	0.531269783
17	0.5288428988
18	0.5242857054
19	0.521563961
20	0.5193633564
21	0.5153255793
22	0.5137081093
23	0.5118903876
24	0.5100221861
25	0.507939961
26	0.5071306862
27	0.5036183579
28	0.5003804647
29	0.4992249383
30	0.4981561226
31	0.4965447369
32	0.4936265751
33	0.4909373538
34	0.4897616208
35	0.489230681
36	0.487893953
37	0.4866493809
38	0.4854768331
39	0.4830498227
40	0.4808155177
41	0.4787581498
42	0.4777418145
43	0.4770209379
44	0.4759257666
45	0.4740508987
46	0.4730317442
47	0.4713050787
48	0.4697161811
49	0.4681810799
50	0.4667347379
51	0.4654035776
52	0.4644377538
53	0.4632106495
54	0.4623734277
55	0.4613058948
56	0.4601904281
57	0.4595680633
58	0.4594881422
59	0.4584877715
60	0.4576902592
61	0.457444982
62	0.4568700127
63	0.4557136873
64	0.4546033333
65	0.4540530971
66	0.4532393326
67	0.4532121417
68	0.4528053485
69	0.45211561
70	0.4520995966
71	0.4516102769
72	0.4508978305
73	0.4508708679
74	0.4502638286
75	0.449641175
76	0.4490567172
77	0.4480370032
78	0.4474826544
79	0.447467478
80	0.4469409321
81	0.4458844858
82	0.4454682214
83	0.4450691607
84	0.4441335788
85	0.4436469871
86	0.443057063
87	0.4425903602
88	0.4425123125
89	0.4416562992
90	0.4410484223
91	0.4402647968
92	0.4401918864
93	0.4394743972
94	0.4385961584
95	0.4381000101
96	0.4373182592
97	0.4372514517
98	0.4364865086
99	0.4361011637
