iter	Logloss	Accuracy
273	0.1687199562	0.9851485149
274	0.1681943494	0.9851485149
275	0.1681352261	0.9851485149
276	0.167006208	0.9851485149
277	0.1663104608	0.9851485149
278	0.1661039335	0.9851485149
279	0.1653760858	0.9851485149
280	0.1650338296	0.9851485149
281	0.1642226294	0.9851485149
282	0.1638382617	0.9851485149
283	0.1637599855	0.9851485149
284	0.1633246987	0.9851485149
285	0.1627869678	0.9851485149
286	0.1624045359	0.9851485149
287	0.1616355776	0.9851485149
288	0.1611293235	0.9851485149
289	0.1610794159	0.9851485149
290	0.1609079009	0.9851485149
291	0.1607482787	0.9851485149
292	0.1606008981	0.9851485149
293	0.1604589622	0.9851485149
294	0.160270186	0.9851485149
295	0.1597074365	0.9851485149
296	0.1596243418	0.9851485149
297	0.1591648395	0.9851485149
298	0.1591146129	0.9851485149
299	0.158341493	0.9851485149
300	0.1573323394	0.9851485149
301	0.1569253444	0.9851485149
302	0.1568082681	0.9851485149
303	0.1560838236	0.9851485149
304	0.1559939133	0.9851485149
305	0.1555099749	0.9851485149
306	0.1553660454	0.9851485149
307	0.1548396581	0.9851485149
308	0.1545457854	0.9851485149
309	0.1537191393	0.9851485149
310	0.1535872891	0.9851485149
311	0.1532400453	0.9851485149
312	0.152993474	0.9851485149
313	0.1526917744	0.9851485149
314	0.1515700555	0.9851485149
315	0.1514623347	0.9851485149
316	0.1500778319	0.9851485149
317	0.1491447121	0.9851485149
318	0.1485936274	0.9851485149
319	0.1484045208	0.9851485149
320	0.1480966577	0.9851485149
321	0.1478498112	0.9851485149
322	0.1478180816	0.9851485149
323	0.1477067319	0.9851485149
324	0.1472254447	0.9851485149
325	0.1471013999	0.9851485149
326	0.1467576797	0.9851485149
327	0.1466186527	0.9851485149
328	0.1461834992	0.9851485149
329	0.1454626773	0.9851485149
330	0.145353613	0.9851485149
331	0.1452879482	0.9851485149
332	0.1451554474	0.9851485149
333	0.1447463532	0.9851485149
334	0.144643639	0.9851485149
335	0.1442170965	0.9900990099
336	0.1441295569	0.9900990099
337	0.1440495105	0.9900990099
338	0.143961454	0.9900990099
339	0.143777558	0.9900990099
340	0.1436950198	0.9900990099
341	0.1429389284	0.995049505
342	0.1423809785	0.995049505
343	0.1416981597	0.995049505
344	0.1413258105	0.995049505
345	0.1405371964	0.995049505
346	0.1404649601	0.995049505
347	0.1397865832	0.995049505
348	0.1393255488	0.995049505
349	0.1386049298	0.995049505
350	0.1385277871	0.995049505
351	0.1375940786	1
352	0.1374984082	1
353	0.137414568	1
354	0.1368827075	1
355	0.1364452076	1
356	0.1355581594	1
357	0.1354845841	1
358	0.1352283656	1
359	0.1345228041	1
360	0.1340688957	1
361	0.1332468482	1
362	0.1330218394	1
363	0.1326736193	1
364	0.1324686317	1
365	0.1317302447	1
366	0.1316483563	1
367	0.1312025736	1
368	0.1311181377	1
369	0.1310434652	1
370	0.1304173684	1
371	0.1298550349	1
372	0.1293221535	1
373	0.1287995461	1
374	0.128501442	1
375	0.1284489554	1
376	0.1278077019	1
377	0.1270713865	1
378	0.1267249953	1
379	0.1262421406	1
380	0.1261562851	1
381	0.1256510349	1
382	0.1254839074	1
383	0.1248946392	1
384	0.1246115396	1
385	0.1240991773	1
386	0.1239241943	1
387	0.1234613175	1
388	0.1230151854	1
389	0.1227828218	1
390	0.122104583	1
391	0.121740209	1
392	0.1214745618	1
393	0.1211787364	1
394	0.1209526134	1
395	0.1205940559	1
396	0.1202159988	1
397	0.1201479145	1
398	0.1198727627	1
399	0.1198157055	1
400	0.119761272	1
401	0.1196963624	1
402	0.1193889671	1
403	0.1187151541	1
404	0.1183457761	1
